objectid,description,identifier,latitude,longitude
8098,Moller Rd & 29th St,12067,39.80778,-86.255866
8017,Keystone Ave - 3624 S,11886,39.713866,-86.120703
9519,21st St & Bazil Ave,51663,39.796614,-86.011124
7703,Parkwood Dr - Speedway Center,10927,39.800183,-86.264674
10389,University Ave & Downey Ave,53434,39.766424,-86.076318
10344,Emerson Ave & County Line Rd - Kroger,53332,39.638499,-86.08281
9344,Michigan St & Tremont St,51273,39.774741,-86.200801
9070,Washington St - 8202 W,50884,39.735662,-86.306084
8053,16th St & Riverside Dr E,12007,39.789261,-86.190505
10205,Prospect St & Villa Ave,53106,39.752396,-86.126686
7341,38th St & Lawndale Ave,10321,39.823714,-86.266373
9849,Allisonville Rd & Shopping Center Dr,52341,39.906923,-86.077988
7226,Meridian St & 18th St,10119,39.790864,-86.157376
9065,W Perimeter Rd & Bridgeport Rd,50879,39.700779,-86.319655
7594,10th St & Wittfield St,10784,39.78209,-86.004027
10095,Sunset Ave & 49th St,52845,39.841955,-86.168921
8276,Holt Rd & Sam Jones Expressway,12376,39.734526,-86.225231
7787,10th St & Haugh St,11027,39.780617,-86.207692
9945,Hoover Rd & 64th St,52591,39.873411,-86.174495
7409,Sutherland Ave & Guilford Ave,10434,39.815437,-86.139285
9141,Harcourt Rd - 8400 N,50977,39.908594,-86.193976
7220,38th St & Park Ave,10096,39.825159,-86.147216
8338,Holt Rd & Berwyn St,12447,39.722746,-86.225211
8856,Washington St & Rural St,50618,39.768364,-86.115846
8566,Meadows Dr & Adams St,50048,39.829783,-86.110253
9214,MLK St & Saint Clair Ct,51062,39.777649,-86.167472
7300,Mitthoefer Rd & Conveyor Dr,10241,39.815392,-85.991022
8816,25th St & Tacoma Ave,50509,39.803462,-86.120086
7781,10th St & Exeter Ave,11020,39.780406,-86.21981
8718,Clifton St & 31st St,50363,39.811174,-86.180508
8845,Washington St & Park Ave,50603,39.766744,-86.147464
10557,86th St & Commerce Park,86033,39.911614,-86.233087
10460,Post Rd & Neptune Dr,54010,39.806461,-86.009507
9919,Illinois St & 59th St,52545,39.861066,-86.159649
7954,Keystone Ave & 64th St,11809,39.872488,-86.122307
7870,Redfern Dr & Private Dr,11707,39.700796,-86.096398
9029,Washington St & Belmont Ave,50818,39.766218,-86.196388
9407,College Ave & Walnut St,51406,39.777059,-86.14522
7500,34th St & Temple Ave,10571,39.818192,-86.118253
10119,Madison Ave & Murry St,52912,39.718284,-86.148112
8880,Washington St & Webster Ave,50643,39.771132,-86.062948
8433,Southern Ave & Perkins Ave,12589,39.730667,-86.111164
7618,10th St & Mitchner Ave,10813,39.781894,-86.035235
10146,Madison Ave - 8686 S,52949,39.640413,-86.118824
10193,Delaware St & Henry St,53040,39.76029,-86.154683
7667,10th St & Massachusetts Ave,10868,39.781351,-86.138934
7450,30th St & Elmhurst Dr,10483,39.811041,-86.040097
10079,Lafayette Rd & 21st St,52819,39.795403,-86.205833
8245,30th St & Warman Ave,12306,39.809753,-86.207458
7425,34th St & Adams St,10452,39.818128,-86.108552
8344,Troy Ave & Westbrook Ave,12453,39.720413,-86.239131
9192,MLK St & Golden Hill Dr,51038,39.821559,-86.179372
9529,Mitthoefer Rd & 16th St,51673,39.789231,-85.990426
9497,21st St & Sutton St,51635,39.796196,-86.077264
9111,Michigan Rd & Coil St,50942,39.873806,-86.204437
9680,30th St & Priscilla Ave,51920,39.811063,-86.068136
9991,Georgetown Rd & 52nd St,52723,39.846318,-86.241671
9023,Washington St & Tibbs Ave,50812,39.764573,-86.21201
8083,Moller Rd & 34th St,12044,39.816913,-86.255933
7507,34th St & Ralston Ave,10579,39.818137,-86.130976
9677,30th St & Ridgeview Dr,51917,39.811105,-86.057518
9649,16th St & Arlington Ave,51885,39.788924,-86.063723
10335,Emerson Ave & Amerley Dr,53323,39.676281,-86.082624
8191,Eagle Creek Pkwy & Inland Dr,12246,39.831177,-86.285441
10533,86th St & Meridian St,86008,39.912316,-86.157197
8717,Clifton St & Congress Ave,50362,39.812215,-86.180509
8025,Sherman Dr & Wilderness Trail,11896,39.705038,-86.103603
10440,English Ave & Spruce St,53513,39.759753,-86.133746
9775,Central Ave & 34th St,52227,39.818618,-86.149641
9195,MLK St & 34th St,51042,39.815409,-86.176464
10103,Westfield Blvd & Kessler Blvd,52853,39.862905,-86.154253
8881,Washington St & Sheridan Ave,50644,39.771297,-86.059669
7463,33rd St & Raton Ct,10520,39.81661,-86.017813
7514,Sutherland Ave & 32nd St,10586,39.813244,-86.141188
10491,30th/Museum Station NB,70021,39.810492,-86.156676
10076,Lafayette Rd & Groff Ave,52816,39.801233,-86.212004
9403,Ohio St & Park Ave,51401,39.769634,-86.147004
7434,34th St & Dequincy St,10465,39.818295,-86.087897
8455,Minnesota St & Thaddeus St,12629,39.745031,-86.134788
9935,Illinois St & Blue Ridge Rd,52572,39.837755,-86.159273
9400,Central Ave & 25th St,51362,39.803459,-86.149312
7982,Rural St & 09th St,11848,39.779378,-86.116679
8103,Parkwood Dr & 25th St,12072,39.801813,-86.264844
9190,Michigan Rd & 42nd St,51036,39.829895,-86.183379
10057,Georgetown Rd & 57th St,52797,39.856237,-86.240376
9368,Lynhurst Dr & Vermont St,51305,39.772287,-86.250362
10314,Troy Ave & Brill Rd,53291,39.722568,-86.153791
10553,86th St & Georgetown Rd,86029,39.91148,-86.240704
10143,Madison Ave - 8200 S,52945,39.647119,-86.121091
9524,21st St & Shoreland Dr,51668,39.796755,-85.998515
8852,Washington St & Hamilton Ave,50613,39.767634,-86.12566
8076,Parkwood Dr & Schoolwood Dr,12036,39.803133,-86.264774
